"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
1 "CapsuleDef3" 0 20 0.5 32 2 0.5 "fit_RF_all" 0.0496351080487761 0.0620699844639548 0.0504989265599001 0.743699752628324 0.574 0.78 0.818 0.658 0.17 0.491 0.91 0.173
1 "CapsuleDef3" 0 20 0.5 32 2 0.5 "fit_RF_sbc" 0.0496351080487761 0.0620699844639548 0.0504989265599001 0.743699752628324 0.269 0.337 0.296 0.745 0.2 0.26 0.226 0.631
1 "CapsuleDef3" 0 20 0.5 32 2 0.5 "fit_RF_ros" 0.0496351080487761 0.0620699844639548 0.0504989265599001 0.743699752628324 0.574 0.78 0.818 0.658 0.29 0.569 0.691 0.333
1 "CapsuleDef3" 0 20 0.5 32 2 0.5 "fit_RF_rus" 0.0496351080487761 0.0620699844639548 0.0504989265599001 0.743699752628324 0.325 0.408 0.366 0.745 0.332 0.448 0.42 0.613
1 "CapsuleDef3" 0 20 0.5 32 2 0.5 "fit_RF_smote" 0.0496351080487761 0.0620699844639548 0.0504989265599001 0.743699752628324 0.574 0.78 0.818 0.658 0.378 0.641 0.722 0.442
1 "CapsuleDef3" 0 20 0.5 32 2 0.5 "fit_RF_borderline_smote_type1" 0.0496351080487761 0.0620699844639548 0.0504989265599001 0.743699752628324 0.574 0.78 0.818 0.658 0.33 0.613 0.727 0.376
1 "CapsuleDef3" 0 20 0.5 32 2 0.5 "fit_RF_borderline_smote_type2" 0.0496351080487761 0.0620699844639548 0.0504989265599001 0.743699752628324 0.574 0.78 0.818 0.658 0.302 0.596 0.736 0.339
1 "CapsuleDef3" 0 20 0.5 32 2 0.5 "fit_SVM_all" 0.0496351080487761 0.0620699844639548 0.0504989265599001 0.743699752628324 0.535 0.734 0.761 0.642 0.3 0.576 0.69 0.346
1 "CapsuleDef3" 0 20 0.5 32 2 0.5 "fit_SVM_sbc" 0.0496351080487761 0.0620699844639548 0.0504989265599001 0.743699752628324 0.231 0.288 0.25 0.758 0.187 0.243 0.21 0.624
1 "CapsuleDef3" 0 20 0.5 32 2 0.5 "fit_SVM_ros" 0.0496351080487761 0.0620699844639548 0.0504989265599001 0.743699752628324 0.529 0.687 0.684 0.7 0.316 0.553 0.614 0.395
1 "CapsuleDef3" 0 20 0.5 32 2 0.5 "fit_SVM_rus" 0.0496351080487761 0.0620699844639548 0.0504989265599001 0.743699752628324 0.286 0.357 0.315 0.758 0.198 0.264 0.233 0.571
1 "CapsuleDef3" 0 20 0.5 32 2 0.5 "fit_SVM_smote" 0.0496351080487761 0.0620699844639548 0.0504989265599001 0.743699752628324 0.499 0.647 0.635 0.7 0.306 0.491 0.507 0.436
1 "CapsuleDef3" 0 20 0.5 32 2 0.5 "fit_SVM_borderline_smote_type1" 0.0496351080487761 0.0620699844639548 0.0504989265599001 0.743699752628324 0.518 0.676 0.672 0.693 0.318 0.571 0.651 0.384
1 "CapsuleDef3" 0 20 0.5 32 2 0.5 "fit_SVM_borderline_smote_type2" 0.0496351080487761 0.0620699844639548 0.0504989265599001 0.743699752628324 0.525 0.686 0.684 0.693 0.312 0.565 0.647 0.376
2 "CapsuleDef4" 0 20 0.5 32 2 0.5 "fit_RF_all" 0.0361965791174651 0.0451337372953036 0.0365163615456349 0.805194805194805 0.552 0.738 0.756 0.672 0.29 0.637 0.884 0.301
2 "CapsuleDef4" 0 20 0.5 32 2 0.5 "fit_RF_sbc" 0.0361965791174651 0.0451337372953036 0.0365163615456349 0.805194805194805 0.206 0.254 0.217 0.796 0.14 0.175 0.147 0.733
2 "CapsuleDef4" 0 20 0.5 32 2 0.5 "fit_RF_ros" 0.0361965791174651 0.0451337372953036 0.0365163615456349 0.805194805194805 0.552 0.738 0.756 0.672 0.311 0.639 0.833 0.331
2 "CapsuleDef4" 0 20 0.5 32 2 0.5 "fit_RF_rus" 0.0361965791174651 0.0451337372953036 0.0365163615456349 0.805194805194805 0.361 0.442 0.398 0.796 0.268 0.346 0.309 0.671
2 "CapsuleDef4" 0 20 0.5 32 2 0.5 "fit_RF_smote" 0.0361965791174651 0.0451337372953036 0.0365163615456349 0.805194805194805 0.552 0.738 0.756 0.672 0.394 0.585 0.598 0.536
2 "CapsuleDef4" 0 20 0.5 32 2 0.5 "fit_RF_borderline_smote_type1" 0.0361965791174651 0.0451337372953036 0.0365163615456349 0.805194805194805 0.552 0.738 0.756 0.672 0.308 0.591 0.714 0.351
2 "CapsuleDef4" 0 20 0.5 32 2 0.5 "fit_RF_borderline_smote_type2" 0.0361965791174651 0.0451337372953036 0.0365163615456349 0.805194805194805 0.552 0.738 0.756 0.672 0.332 0.675 0.886 0.347
2 "CapsuleDef4" 0 20 0.5 32 2 0.5 "fit_SVM_all" 0.0361965791174651 0.0451337372953036 0.0365163615456349 0.805194805194805 0.434 0.685 0.751 0.508 0.324 0.624 0.763 0.361
2 "CapsuleDef4" 0 20 0.5 32 2 0.5 "fit_SVM_sbc" 0.0361965791174651 0.0451337372953036 0.0365163615456349 0.805194805194805 0.166 0.204 0.172 0.818 0.108 0.135 0.112 0.729
2 "CapsuleDef4" 0 20 0.5 32 2 0.5 "fit_SVM_ros" 0.0361965791174651 0.0451337372953036 0.0365163615456349 0.805194805194805 0.532 0.661 0.641 0.758 0.303 0.559 0.646 0.363
2 "CapsuleDef4" 0 20 0.5 32 2 0.5 "fit_SVM_rus" 0.0361965791174651 0.0451337372953036 0.0365163615456349 0.805194805194805 0.183 0.226 0.191 0.808 0.108 0.136 0.114 0.696
2 "CapsuleDef4" 0 20 0.5 32 2 0.5 "fit_SVM_smote" 0.0361965791174651 0.0451337372953036 0.0365163615456349 0.805194805194805 0.495 0.611 0.582 0.769 0.372 0.532 0.525 0.562
2 "CapsuleDef4" 0 20 0.5 32 2 0.5 "fit_SVM_borderline_smote_type1" 0.0361965791174651 0.0451337372953036 0.0365163615456349 0.805194805194805 0.525 0.659 0.641 0.744 0.336 0.62 0.734 0.383
2 "CapsuleDef4" 0 20 0.5 32 2 0.5 "fit_SVM_borderline_smote_type2" 0.0361965791174651 0.0451337372953036 0.0365163615456349 0.805194805194805 0.536 0.675 0.661 0.74 0.338 0.626 0.744 0.383
3 "CapsuleDef9" 0 20 0.5 32 2 0.5 "fit_RF_all" 0.0264235104649846 0.0329544551455578 0.0265770209101106 0.820616883116883 0.543 0.723 0.736 0.674 0.233 0.577 0.891 0.24
3 "CapsuleDef9" 0 20 0.5 32 2 0.5 "fit_RF_sbc" 0.0264235104649846 0.0329544551455578 0.0265770209101106 0.820616883116883 0.1 0.124 0.102 0.835 0.068 0.084 0.069 0.751
3 "CapsuleDef9" 0 20 0.5 32 2 0.5 "fit_RF_ros" 0.0264235104649846 0.0329544551455578 0.0265770209101106 0.820616883116883 0.543 0.723 0.736 0.674 0.288 0.564 0.682 0.332
3 "CapsuleDef9" 0 20 0.5 32 2 0.5 "fit_RF_rus" 0.0264235104649846 0.0329544551455578 0.0265770209101106 0.820616883116883 0.182 0.224 0.19 0.812 0.124 0.155 0.13 0.731
3 "CapsuleDef9" 0 20 0.5 32 2 0.5 "fit_RF_smote" 0.0264235104649846 0.0329544551455578 0.0265770209101106 0.820616883116883 0.543 0.723 0.736 0.674 0.307 0.48 0.487 0.454
3 "CapsuleDef9" 0 20 0.5 32 2 0.5 "fit_RF_borderline_smote_type1" 0.0264235104649846 0.0329544551455578 0.0265770209101106 0.820616883116883 0.543 0.723 0.736 0.674 0.295 0.585 0.72 0.334
3 "CapsuleDef9" 0 20 0.5 32 2 0.5 "fit_RF_borderline_smote_type2" 0.0264235104649846 0.0329544551455578 0.0265770209101106 0.820616883116883 0.543 0.723 0.736 0.674 0.309 0.65 0.869 0.324
3 "CapsuleDef9" 0 20 0.5 32 2 0.5 "fit_SVM_all" 0.0264235104649846 0.0329544551455578 0.0265770209101106 0.820616883116883 0.338 0.612 0.713 0.391 0.038 0.145 0.429 0.04
3 "CapsuleDef9" 0 20 0.5 32 2 0.5 "fit_SVM_sbc" 0.0264235104649846 0.0329544551455578 0.0265770209101106 0.820616883116883 0.114 0.141 0.117 0.836 0.08 0.101 0.083 0.745
3 "CapsuleDef9" 0 20 0.5 32 2 0.5 "fit_SVM_ros" 0.0264235104649846 0.0329544551455578 0.0265770209101106 0.820616883116883 0.509 0.644 0.625 0.732 0.244 0.432 0.464 0.339
3 "CapsuleDef9" 0 20 0.5 32 2 0.5 "fit_SVM_rus" 0.0264235104649846 0.0329544551455578 0.0265770209101106 0.820616883116883 0.168 0.207 0.175 0.819 0.099 0.126 0.104 0.675
3 "CapsuleDef9" 0 20 0.5 32 2 0.5 "fit_SVM_smote" 0.0264235104649846 0.0329544551455578 0.0265770209101106 0.820616883116883 0.459 0.566 0.531 0.774 0.326 0.456 0.435 0.566
